subject,Score,valence_acc_video,arousal_acc_video,Valence,Arousal,GSR_Diff,BVP_Diff,RSP_Diff,SKT_Diff,EMG_ZYGO_Diff,EMG_CORU_Diff,EMG_TRAP_Diff,Probe,index,avg_score,median_score,Norm_score,Chg_per_V,Chg_per_A,ValenceDiff,ArousalDiff,video,Last1,Last2,Last3,Last4,Last5
10,0.215812504,1,1,5.909,5.198,0.647,2.489,0.571,0.021,0.205,1.231,7.926,0,18,0.686650205,0.588037702,0.061821392,0.036522678,0.041518373,0.606,0.256,1,0,0,0,0,0
10,0.861850478,1,1,5.909,5.21,0.584,0.01,0.629,0.018,0.411,0.739,13.758,0,19,0.714276735,0.600480647,0.064239296,0.145853863,0.165422357,0,0.012,1,0,0,0,0,0
10,0.251595789,1,1,5.909,5.21,0.642,1.627,0.571,0.011,0.452,0.617,6.489,0,20,0.607911414,0.606535219,0.054673209,0.042578404,0.048290938,0,0,1,0,0,0,0,0
10,0.460794046,1,1,5.909,5.21,0.63,2.034,0.997,0.004,0,0.821,3.45,0,21,0.517604216,0.562362647,0.046551328,0.077981731,0.088444155,0,0.002,1,0,0,0,0,0
10,0.309412593,1,1,5.909,5.212,0.651,0.174,0.078,0.007,0.164,0.739,1.396,0,22,0.467337605,0.472685934,0.042022984,0.052362937,0.059365425,0.909,0.152,1,0,0,0,0,0
10,0.562475102,1,1,5,5.058,0.769,0.852,0.861,0.018,0.082,0.452,2.424,0,23,0.431315538,0.306014448,0.042882833,0.11249502,0.111205042,0.909,0.154,1,0,0,0,0,0
10,0.604662826,1,1,5,5.058,0.666,0.688,0.833,0.007,0.452,0.944,8.255,0,24,0.440969646,0.351243581,0.043842677,0.120932565,0.119545834,0,0,1,0,0,0,0,0
10,0.407129944,1,1,5,5.058,0.635,3.322,0.552,0.003,0.082,0.534,6.571,0,25,0.469840152,0.328065905,0.046713079,0.081425989,0.080492278,0,0,1,0,0,0,0,0
10,0.707167471,1,1,5,5.058,0.607,0.107,0.242,0.01,0.493,1.642,5.257,0,26,0.462086524,0.328065905,0.045942188,0.141433494,0.139811679,0,0,1,0,0,0,0,0
10,1.688085903,1,1,5,5.058,0.643,1.608,0.097,0.014,1.232,4.066,15.729,0,27,0.606898666,0.347699379,0.060339895,0.337617181,0.33374573,0.843,0.246,1,0,0,0,0,0
10,0.493230359,1,1,5.843,5.304,0.394,0.32,1.056,0.011,1.026,0.945,5.914,0,28,0.634640451,0.26099534,0.056933745,0.08441389,0.092992149,1.704,0.971,1,0,0,0,0,0
10,0.560637536,1,1,6.704,6.029,0.299,1.123,0.145,0.011,0.698,0.944,19.179,0,29,0.604519157,0.173569926,0.047476569,0.083627317,0.092990137,0.855,0.725,1,0,0,0,0,0
10,1.208161617,1,1,6.698,6.029,0.517,0.455,0.155,0,0.041,0,9.487,0,30,0.70017574,0.212638186,0.055014987,0.180376473,0.20039171,0.008,0.919,1,0,0,0,0,0
10,1.366203124,1,1,6.696,5.11,0.395,1.201,0.939,0.003,0.329,1.93,8.131,0,31,0.790716648,0.572830927,0.06697583,0.204032725,0.267358733,0.389,1.034,1,0,0,0,0,0
10,0.577183242,1,1,6.309,4.995,0.414,2.111,0.63,0.017,0.328,1.807,2.916,0,32,0.817493712,0.521816153,0.072318977,0.091485694,0.115552201,0.387,0.115,1,0,0,0,0,0
10,0.249680956,1,1,6.309,4.995,0.555,0.533,0.049,0.011,0.575,0.041,4.148,0,33,0.786214298,0.572830927,0.069551866,0.039575362,0.049986177,0,0.034,1,0,0,0,0,0
10,0.448446708,1,1,6.309,5.029,0.52,0.377,0.107,0.011,0.247,2.177,11.129,0,34,0.770592686,0.62327046,0.067965487,0.071080474,0.089172143,0,0.101,1,0,0,0,0,0
10,5.632759459,1,1,6.309,5.096,0.6,0.378,0.155,0.01,0.369,1.642,8.131,1,35,1.293155638,0.816610594,0.113384975,0.892813355,1.105329564,0.013,0.106,1,0,0,0,0,0
11,0.57324057,1,1,5,5.093,0.433,3.894,0.406,0.119,4.722,0.575,0.123,0,36,1.279762947,0.816610594,0.126797082,0.114648114,0.112554598,0,0.055,1,1,0.5,0.333333333,0.25,0.2
11,0.545469542,1,1,5,5.097,0.102,0.068,0.658,0.113,0.083,0,0.247,0,37,1.165501311,0.544126869,0.115430456,0.109093908,0.107017764,0,0.07,1,0,0.5,0.333333333,0.25,0.2
11,1.507457917,1,1,5,5.023,0.114,1.394,0.697,0.081,3.738,0.205,0.37,0,38,1.266924067,0.777431207,0.126401683,0.301491583,0.300111072,0,0.042,1,0,0,0.333333333,0.25,0.2
11,0.39997032,1,1,5,5.055,0.111,0.504,0.145,0.038,0.616,0.822,0.616,0,39,1.250857346,0.853990331,0.124401526,0.079994064,0.079123703,0,0.113,1,0,0,0,0.25,0.2
11,0.516318763,1,1,5,5.136,0.142,2.16,1.055,0.007,0.533,1.314,0.205,0,40,1.18167306,0.703533432,0.116581794,0.103263753,0.100529354,1.131,0.209,1,0,0,0,0,0.2
11,1.398389532,1,1,6.131,5.264,0.189,0.33,0.542,0.018,2.957,0.74,3.122,0,41,1.184891701,0.727673238,0.103983475,0.228085065,0.265651507,1.121,0.219,1,0,0,0,0,0
11,1.055423705,1,1,6.121,5.355,0.288,0.979,0.174,0.007,2.628,1.396,0.123,0,42,1.232715747,0.847233354,0.107416848,0.172426679,0.197091261,0.116,0.044,1,0,0,0,0,0
11,0.144762329,1,1,6.247,5.308,0.343,0,0.164,0.018,0.164,0.041,3.409,0,43,1.222223885,0.847233354,0.10577446,0.023173096,0.027272481,0.154,0.026,1,0,0,0,0,0
11,0.152496108,1,1,6.275,5.329,0.256,0.523,0.987,0.007,0.493,0.164,4.641,0,44,1.192628825,0.883590645,0.102777389,0.024302169,0.028616271,0.149,0.101,1,0,0,0,0,0
11,0.219344448,1,1,6.396,5.207,0.331,0.01,0.562,0.028,1.068,0.082,0.205,0,45,0.651287323,0.670377005,0.056130942,0.034294004,0.042124918,0.213,0.054,1,0,0,0,0,0
11,0.08637584,1,1,6.488,5.275,0.304,0.775,0.474,0.035,0.205,0.082,4.723,0,46,0.60260085,0.758726971,0.0512285,0.013313169,0.016374567,0.092,0.083,1,0,0,0,0,0
11,1.88356727,1,1,6.488,5.29,0.3,3.623,0.126,0.021,0.657,0.246,0,1,47,0.736410623,1.143439882,0.062524251,0.290315547,0.356061866,0.012,0.159,1,0,0,0,0,0
11,0.105781033,1,1,6.5,5.434,0.268,1.375,0.203,0.011,1.273,0.493,0.657,0,48,0.596242935,0.773951696,0.049961701,0.016274005,0.019466513,0.023,0.144,1,1,0.5,0.333333333,0.25,0.2
11,0.12679217,1,1,6.511,5.434,0.339,3.294,0.329,0.042,0.821,0.041,0.123,0,49,0.56892512,0.78936276,0.047628725,0.019473532,0.023333119,0.015,0.303,1,0,0.5,0.333333333,0.25,0.2
11,0.02681261,1,1,6.515,5.131,0.327,3.303,0.842,0.038,0.042,0.411,0.698,0,50,0.519974505,0.735370074,0.044648335,0.00411552,0.005225611,1.511,0.434,1,0,0,0.333333333,0.25,0.2
11,0.299149381,1,1,5,5,0.331,0.813,0.165,0.017,0.288,0.575,6.817,0,51,0.410050489,0.168164331,0.041005049,0.059829876,0.059829876,1.515,0.131,1,0,0,0,0.25,0.2
11,0.067885649,1,1,5,5,0.434,1.792,0.513,0.004,0.123,0.041,0.246,0,52,0.311296684,0.111405225,0.031129668,0.01357713,0.01357713,0,0,1,0,0,0,0,0.2
11,0.640517517,1,1,5,5,0.339,2.508,0.106,0.01,1.273,0.411,7.269,0,53,0.360872203,0.18797101,0.03608722,0.128103503,0.128103503,0.509,0.103,1,0,0,0,0,0
11,0.232191749,1,1,5.509,5.103,0.216,1.647,0.629,0.003,0.164,0.657,0,0,54,0.368841767,0.191182835,0.034757045,0.042147713,0.045501029,1.066,0.564,1,0,0,0,0,0
11,0.520285387,1,1,6.066,4.436,0.245,2.121,0.358,0.003,1.232,0.945,4.353,0,55,0.398935861,0.373774247,0.037986656,0.085770753,0.117287057,0.719,0.95,1,0,0,0,0,0
11,0.060622754,1,1,6.228,4.153,0.312,1.85,0.155,0.011,0.041,0.083,0.04,0,56,0.396360552,0.387641891,0.038181346,0.009733904,0.01459734,0.329,0.324,1,0,0,0,0,0
11,0.441467033,1,1,6.395,4.76,0.291,0.746,0.842,0.011,0.082,0.945,4.065,0,57,0.252150528,0.328528125,0.022604261,0.069033156,0.092745175,1.298,1.119,1,0,0,0,0,0
11,0.036124072,1,1,4.93,5.272,0.327,1.569,0.455,0.021,0.082,1.027,0.083,0,58,0.245184832,0.343449142,0.024033016,0.007327398,0.006852062,1.395,0.24,1,0,0,0,0,0
11,1.174784421,1,1,5,5,0.359,1.327,0.465,0.017,0.165,1.027,0,0,59,0.349984057,0.438142321,0.034998406,0.234956884,0.234956884,0.093,0.272,1,0,0,0,0,0
11,0.163063077,1,1,5.023,5,0.406,3.196,0.174,0.007,0.247,1.765,0,0,60,0.363609104,0.408900793,0.036277472,0.032463284,0.032612615,0.315,0.071,1,0,0,0,0,0
11,0.063202314,1,1,5.315,4.929,0.312,2.441,1.19,0.007,0.944,0.657,6.735,0,61,0.340014397,0.436207651,0.033191566,0.01189131,0.012822543,0.307,0.042,1,0,0,0,0,0
11,3.340205125,1,1,5.33,4.958,0.103,3.119,0.136,0.004,7.022,0.699,0.123,1,62,0.667246345,0.52229198,0.06485676,0.626680136,0.673700106,0.394,0.082,1,0,0,0,0,0
11,0.975862504,1,1,5.709,5.011,0.146,0.678,0.406,0.011,3.245,0.452,6.735,0,63,0.700780844,0.77380072,0.065371347,0.170934052,0.194744064,0.716,0.053,1,1,0.5,0.333333333,0.25,0.2
11,2.078420456,1,1,6.046,5.011,0.213,0.785,0.136,0.007,4.846,0.041,0.04,1,64,0.885403714,1.036886437,0.080076306,0.343767856,0.414771594,0.767,0.003,1,0,0.5,0.333333333,0.25,0.2
11,2.208317327,1,1,6.476,5.014,0.307,4.601,0.068,0.01,4.148,1.191,0.288,1,65,1.054206908,1.764343943,0.091749949,0.341000205,0.440430261,0.43,0.022,1,1,0.5,0.666666667,0.5,0.4
11,0.012377057,1,1,6.476,4.989,0.299,0.852,0.223,0.014,1.56,1.109,0.246,0,66,1.049382339,1.764343943,0.091529205,0.001911219,0.002480869,0.141,0.182,1,1,1,0.666666667,0.75,0.6
11,0.299770705,1,1,6.335,4.832,0.205,1.162,0.271,0.014,0.862,0.657,0.37,0,67,1.035212706,1.764343943,0.092702848,0.047319764,0.062038639,1.476,0.011,1,0,0.5,0.666666667,0.5,0.6
11,0.333339046,1,1,5,5,0.221,0.95,0.088,0.003,2.505,0.903,0.37,0,68,1.064934203,1.655271463,0.10649342,0.066667809,0.066667809,1.335,0.168,1,0,0,0.333333333,0.5,0.4
11,0.220052789,1,1,5,5,0.244,2.848,0.019,0.021,1.273,0.657,4.065,0,69,0.96946104,1.625470463,0.096946104,0.044010558,0.044010558,0.193,0,1,0,0,0,0.25,0.4
11,1.617213332,1,1,5.193,5,0.248,1.386,1.075,0.046,3.901,1.601,0.124,1,70,1.114876066,1.723136407,0.109376637,0.311421785,0.323442666,0.4,0.023,1,0,0,0,0,0.2
11,0.163092783,1,1,5.4,5.023,0.304,3.177,0.251,0.035,1.766,1.068,4.27,0,71,1.124865112,1.723136407,0.107921435,0.030202367,0.032469198,0.542,0.008,1,1,0.5,0.333333333,0.25,0.2
12,0.335029116,1,1,5.059,5,0.619,0.804,0.523,0.045,0.164,0.328,0.164,0,72,0.824347512,1.216893357,0.081951239,0.066224376,0.067005823,1.517,0.218,1,0,0.5,0.333333333,0.25,0.2
12,0.340138427,1,1,6.517,5.218,0.232,1.017,0.581,0.031,0.123,0.206,0.328,0,73,0.760775104,1.057962338,0.064829579,0.052192485,0.065185594,1.595,0.341,1,0,0,0.333333333,0.25,0.2
12,0.26641177,1,1,6.654,5.341,0.655,0.949,0.233,0.035,0.41,0.37,0.287,0,74,0.579574235,0.107218565,0.048317985,0.040037837,0.049880504,0.156,0.185,1,0,0,0,0.25,0.2
12,0.267321548,1,1,6.673,5.403,0.856,0.785,0.078,0.042,0.082,0.575,0.246,0,75,0.385474657,0.102964064,0.031920724,0.040060175,0.049476503,0.019,0.084,1,0,0,0,0,0.2
12,0.162253815,1,1,6.673,5.425,0.8,0.61,0.097,0.025,0.164,0.493,0.041,0,76,0.400462333,0.102964064,0.033101532,0.024314973,0.029908537,0,0.062,1,0,0,0,0,0
12,0.089856899,1,1,6.673,5.465,0.548,0.978,0.988,0.029,0.082,0.247,0.369,0,77,0.379470953,0.157273814,0.031263054,0.013465742,0.016442251,0,0.044,1,0,0,0,0,0
12,0.066180252,1,1,6.673,5.469,0.351,0.746,0.213,0.035,0.205,0.575,0.287,0,78,0.352755073,0.155638667,0.029052469,0.009917616,0.012100979,0.198,0.261,1,0,0,0,0,0
12,0.08990797,1,1,6.871,5.726,0.504,1.869,0.02,0.021,0.534,0.288,0.205,0,79,0.339740591,0.210107793,0.02696996,0.013085136,0.015701706,0.189,0.26,1,0,0,0,0,0
12,0.111898299,1,1,6.862,5.729,0.812,1.763,0.155,0.039,0.698,0.205,0.287,0,80,0.189209088,0.171688551,0.015027328,0.016306951,0.019531908,0.009,0.003,1,0,0,0,0,0
12,0.154698306,1,1,6.862,5.729,0.517,2.034,0.803,0.045,0,0.452,0.452,0,81,0.18836964,0.171688551,0.014960658,0.022544201,0.027002672,0,0.007,1,0,0,0,0,0
12,0.242505087,1,1,6.862,5.736,0.418,1.453,0.019,0.035,0.041,0.863,0.246,0,82,0.179117237,0.165029547,0.014217911,0.035340292,0.042277735,0,0.007,1,0,0,0,0,0
12,0.0667019,1,1,6.862,5.736,0.733,0.436,0.445,0.028,0.452,0.205,0.534,0,83,0.151773585,0.132572602,0.012047435,0.009720475,0.011628644,0,0,1,0,0,0,0,0
12,0.154777289,1,1,6.862,5.736,0.556,0.281,0.019,0,0.944,2.177,0.37,0,84,0.140610137,0.070515017,0.011161306,0.022555711,0.026983488,0.038,0.26,1,0,0,0,0,0
12,0.052938894,1,1,6.9,5.996,0.02,1.036,0.416,0.032,0.411,0.944,0.082,0,85,0.119171871,0.082266894,0.009240995,0.007672303,0.008829035,0.001,0.272,1,0,0,0,0,0
12,0.408450484,1,1,6.863,6.008,0.698,0.523,0.658,0.035,0.288,1.068,0.411,0,86,0.143791538,0.082266894,0.011171746,0.05951486,0.067984435,0.037,0.012,1,0,0,0,0,0
12,0.343931883,1,1,6.863,6.008,0.169,0.33,0.087,0.007,0.164,2.382,0.123,0,87,0.169199036,0.14806972,0.013145757,0.050113927,0.057245653,0,0,1,0,0,0,0,0
12,1.272134563,1,1,6.863,6.008,0.599,0.291,0.058,0.021,0.821,7.393,0.123,0,88,0.289794468,0.223169632,0.022515303,0.185361294,0.211740107,0,0,1,0,0,0,0,0
12,0.057259351,1,1,6.863,6.008,0.3,0.377,0.087,0.024,0.164,2.341,0.205,0,89,0.286529606,0.240574184,0.022261643,0.008343196,0.009530518,0,0,1,0,0,0,0,0
12,0.028844785,1,1,6.863,6.008,0.095,0.494,0.174,0.031,0.369,5.955,0.165,0,90,0.278224254,0.258955196,0.021616367,0.004202941,0.004801063,0,0,1,0,0,0,0,0
12,0.592718089,1,1,6.863,6.008,0.036,2.063,0.136,0.035,1.56,1.52,0.945,0,91,0.322026233,0.332700846,0.025019519,0.086364285,0.098654808,0,0,1,0,0,0,0,0
12,0.230430831,1,1,6.863,6.008,0.252,0.717,0.678,0.046,0.411,0.205,0.369,0,92,0.320818807,0.332700846,0.024925709,0.033575817,0.038354,0,0,1,0,0,0,0,0
12,0.448804933,1,1,6.863,6.008,0.8,0.649,1.104,0.039,1.478,1.15,0.041,0,93,0.35902911,0.357077485,0.027894422,0.065394861,0.074701221,0.002,0,1,0,0,0,0,0
12,0.131156563,1,1,6.861,6.008,0.556,0.736,0.165,0.003,0.287,0.862,0.247,0,94,0.356667038,0.362982667,0.02771521,0.019116246,0.02183032,0.099,0.341,1,0,0,0,0,0
12,0.009032191,1,1,6.764,6.349,0.261,0.261,0.096,0,0.575,0.082,0.164,0,95,0.352276367,0.362982667,0.026864666,0.001335333,0.001422616,0.097,0.35,1,0,0,0,0,0
12,0.083329304,1,1,6.764,6.358,0.588,0.794,0.039,0.014,0.164,0.492,0.41,0,96,0.319764249,0.358809831,0.02436856,0.01231953,0.013106213,0.01,0.009,1,0,0,0,0,0
12,0.022721524,1,1,6.774,6.358,0.701,0.426,0.261,0.024,0.411,1.232,0.411,0,97,0.287643213,0.358262981,0.021903991,0.003354226,0.00357369,0.028,0,1,0,0,0,0,0
12,0.514455477,1,1,6.792,6.358,0.362,1.181,0.019,0.021,0.617,0.493,0.534,0,98,0.211875305,0.358262981,0.01611219,0.075744328,0.080914671,0.306,0.755,1,0,0,0,0,0
12,1.772363286,1,1,7.08,7.113,0.098,0.504,0.3,0.014,0.37,2.464,0.452,1,99,0.383385698,0.455576926,0.027012309,0.250333797,0.249172401,0.288,0.779,1,0,0,0,0,0
12,1.348482984,1,1,7.08,7.137,0.173,0.378,0.223,0.032,0.165,0.739,0.493,0,100,0.515349518,0.477866317,0.036248823,0.190463698,0.188942551,0.007,0.029,1,1,0.5,0.333333333,0.25,0.2
12,0.358042857,1,1,7.087,7.142,0.327,0.068,0.474,0.05,0.123,1.314,8.501,0,101,0.491881995,0.402756722,0.034568978,0.050521075,0.050132016,0.112,0.278,1,0,0.5,0.333333333,0.25,0.2
12,0.235179327,1,1,7.192,7.415,0.587,0.213,0.213,0.035,0.37,0.534,0.452,0,102,0.492356845,0.402756722,0.033706911,0.032700129,0.0317167,0.113,0.249,1,0,0,0.333333333,0.25,0.2
12,0.171135089,1,1,7.2,7.391,0.371,1.385,0.416,0.021,0.165,0.287,8.46,0,103,0.46458986,0.380066203,0.031840851,0.023768762,0.023154524,0.014,0.022,1,0,0,0,0.25,0.2
12,0.119048012,1,1,7.206,7.437,0.355,0.601,0.106,0.025,2.218,0.657,0.288,0,104,0.463379005,0.383093341,0.031645087,0.016520679,0.016007532,0.031,0.037,1,0,0,0,0,0.2
12,0.01184429,1,1,7.231,7.428,0.477,1.491,0.029,0.024,0.452,3.532,0.041,0,105,0.463660215,0.383093341,0.03162973,0.001637988,0.001594546,0.025,0.009,1,0,0,0,0,0
12,0.089619344,1,1,7.231,7.428,0.331,0.649,0.319,0.007,1.519,0.082,0.411,0,106,0.464289219,0.378375811,0.031672639,0.012393769,0.012065071,0,0,1,0,0,0,0,0
12,7.481694433,1,1,7.231,7.428,0.343,1.026,0.048,0.011,0.534,3.943,0.328,1,107,1.21018651,1.007906326,0.082555871,1.0346694,1.007228653,0.019,0.14,1,0,0,0,0,0
13,4.482945324,1,1,5.959,4.945,2.425,0.824,1.994,0.007,9.692,0.247,3.655,0,108,1.607035495,1.534323429,0.147380365,0.752298259,0.906561238,1.673,0.467,1,1,0.5,0.333333333,0.25,0.2
13,0.372122626,1,1,6.673,5.467,0.13,0.165,1.636,0.014,4.353,0,3.778,0,109,1.467011429,0.972323113,0.120841139,0.055765417,0.068067062,0.953,0.608,1,0,0.5,0.333333333,0.25,0.2
13,0.934553505,1,1,6.912,5.553,1.088,0.368,2.129,0.021,3.244,0.041,6.242,0,110,1.425618481,0.661876004,0.114369714,0.135207394,0.168297048,0.48,0.286,1,0,0,0.333333333,0.25,0.2
13,0.763664942,1,1,7.153,5.753,0.97,1.298,0.765,0.011,2.751,0.123,7.104,0,111,1.466180689,0.759761583,0.113604578,0.106761491,0.132742038,0.368,0.449,1,0,0,0,0.25,0.2
13,1.475528012,1,1,7.28,6.002,0.958,0.397,1.161,0.007,1.109,0.123,2.382,0,112,1.590215558,1.208214604,0.119727116,0.202682419,0.245839389,0.286,0.199,1,0,0,0,0,0.2
13,2.82266617,1,1,7.439,5.952,0.599,1.25,0.533,0.017,5.79,0,4.271,0,113,1.855368666,2.303564965,0.138553406,0.379441614,0.474238268,0.208,1.111,1,0,0,0,0,0
13,2.403479449,1,1,7.488,4.891,0.998,0.329,0.31,0.028,0.739,0.041,14.045,0,114,2.08381181,2.247861285,0.168334422,0.320977491,0.491408597,0.064,1.046,1,0,0,0,0,0
13,0.662494573,1,1,7.503,4.906,0.576,0.3,1.385,0.014,2.299,0.124,3.162,0,115,2.148876838,2.030082325,0.173170831,0.088297291,0.135037622,0.015,0.015,1,0,0,0,0,0
13,1.012801676,1,1,7.503,4.906,0.386,0.349,0.464,0.021,25.339,0.37,10.513,0,116,2.241195071,1.911482407,0.18061045,0.134986229,0.206441434,0,0,1,0,0,0,0,0
13,5.484851045,1,1,7.503,4.906,0.489,0.174,0.194,0.021,16.346,0.698,0.123,1,117,2.041510732,1.911482407,0.164518554,0.731021064,1.117988391,0.67,0.234,1,0,0,0,0,0
13,5.220281034,1,1,8.173,5.14,0.536,0.94,0.261,0.003,25.38,0.534,1.314,1,118,2.115244303,1.911482407,0.158885623,0.63872275,1.015618878,0.696,0.278,1,1,0.5,0.333333333,0.25,0.2
13,5.142283095,1,1,8.199,5.184,0.871,0.717,0.232,0.014,19.425,0.945,4.64,1,119,2.59226035,3.608263316,0.193698001,0.62718418,0.991952758,0.014,0.078,1,1,1,0.666666667,0.5,0.4
13,2.59443789,1,1,8.187,5.218,0.765,0.601,0.378,0.024,32.074,0.739,1.643,0,120,2.758248789,3.433895604,0.205762685,0.316897263,0.497209255,0.03,0.135,1,1,1,1,0.75,0.6
13,1.283139089,1,1,8.169,5.049,0.28,0.097,0.155,0.007,4.969,0.164,5.256,0,121,2.810196203,3.231142544,0.212603738,0.157074194,0.254137273,0.254,0.093,1,0,0.5,0.666666667,0.75,0.6
13,0.934444398,1,1,8.441,5.125,0.043,0.126,0.136,0.007,17.659,0.493,1.15,0,122,2.756087842,3.481992835,0.203161421,0.110703044,0.182330614,0.481,0.341,1,0,0,0.333333333,0.5,0.6
13,2.711380916,1,1,8.65,4.708,0.359,0.542,0.125,0.028,3.121,0,3.408,0,123,2.744959317,3.454171521,0.205491789,0.313454441,0.575909285,0.232,0.597,1,0,0,0,0.25,0.4
13,0.812719479,1,1,8.673,4.528,0.264,0.833,1.471,0.018,9.241,0.205,3.614,0,124,2.58588332,3.580523833,0.195885412,0.093706846,0.179487517,0.03,0.18,1,0,0,0,0,0.2
13,0.849074322,1,1,8.68,4.528,0.161,0.223,0.978,0.014,2.71,0,5.585,0,125,2.604541294,3.580523833,0.197194223,0.097819622,0.187516414,0.022,0,1,0,0,0,0,0
13,5.104247851,1,1,8.695,4.528,0.603,0.707,2.042,0.017,6.654,1.437,8.871,1,126,3.013685912,4.111156213,0.227912419,0.58703253,1.127263218,0.053,0.011,1,0,0,0,0,0
13,1.147833181,1,1,8.733,4.539,0.465,0.436,0.194,0.011,5.174,0.164,4.148,0,127,2.579984126,3.518239524,0.194393017,0.131436297,0.252882393,0.071,0.175,1,1,0.5,0.333333333,0.25,0.2
13,0.639140887,1,1,8.766,4.703,1.707,0.233,1.268,0.011,11.541,1.314,8.871,0,128,2.121870111,1.811728319,0.157537316,0.072911349,0.135900678,0.072,0.035,1,0,0.5,0.333333333,0.25,0.2
13,2.958474882,1,1,8.805,4.574,0.524,0.717,0.058,0.003,0.288,0,5.586,0,129,1.90348929,1.811728319,0.142274407,0.335999419,0.646802554,0.039,0.127,1,0,0,0.333333333,0.25,0.2
13,1.701112127,1,1,8.805,4.576,0.966,0.659,0.59,0.017,2.423,0.123,3.121,0,130,1.814156713,1.588396878,0.135577065,0.193198424,0.371746531,0,0.002,1,0,0,0,0.25,0.2
13,5.744423762,1,1,8.805,4.576,0.599,1.841,1.549,0.025,3.491,0.123,2.916,1,131,2.260285181,2.02628455,0.168917508,0.652404743,1.255337361,0.254,0.054,1,0,0,0,0,0.2
